"Reeks","Wedstrijdnr","Datum","Uur","Thuis","Bezoekers","Sporthall","Uitslag","Setstanden","Uitslag reserven","Setstanden reserven"
"U13 Jongens 2e Provinciale C","U13J2PC-0017","20/10/2018","09:30","VELVOC B","VBT MACHELEN B","Warotzaal, Winksele","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0016","20/10/2018","09:30","VCV LEEFDAAL-BERTEM","VBT MACHELEN","Gemeentelijke Sportzaal, Leefdaal","","","",""
"U19 Meisjes 2e Provinciale","U19M2P-0026","20/10/2018","09:30","VBT MACHELEN","VOLLEY SCHEPDAAL VZW","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0017","20/10/2018","09:30","VBT MACHELEN C","WOLVERTEM SPORTING","Sporthal Bosveld, Machelen","","","",""
"U11 Jongens 1e Provinciale B 2-2","U11J1PB 2-2-0016","20/10/2018","11:30","VBT MACHELEN A","KRUIKENBURG TERNAT B","Sporthal Bosveld, Machelen","","","",""
"U15 Jongens 1e Provinciale","U15J1P-18","20/10/2018","11:45","VBT MACHELEN A","KRUIKENBURG TERNAT A","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0016","20/10/2018","11:45","VBT MACHELEN A","WOLVERTEM SPORTING B","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0017","20/10/2018","14:00","VBT MACHELEN B","VOLLEY BELLINGEN HALLE A","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0017","20/10/2018","14:00","VBT MACHELEN A","VOLLEY HAASRODE LEUVEN (VHL) B","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0017","20/10/2018","15:00","JEUGDVOLLEYBAL LONDERZEEL A","VBT MACHELEN A","Sportcentrum Blauvenne, Londerzeel","","","",""
"U11 Jongens 2e Provinciale C 2-2","U11J2PC 2-2-0017","20/10/2018","16:00","VBT MACHELEN B","VC LENNIK HEREN","Sporthal Bosveld, Machelen","","","",""
"3de Provinciale Mannen A","3PMA-0036","20/10/2018","18:00","V.C. ZAVATH ZAVENTEM","VBT MACHELEN C","Gemeentelijke Sporthal, Zaventem","","","",""
"2de Provinciale Vrouwen B","2PVB-0036","20/10/2018","20:30","VBT MACHELEN A","VC ETERNIT KAPELLE O/D BOS A","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0018","21/10/2018","11:30","VELVOC A","VBT MACHELEN B","Warotzaal, Winksele","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0018","21/10/2018","11:30","VOLLEY THOR TERVUREN","VBT MACHELEN B","Sportcentrum Diependal, Tervuren","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0001","21/10/2018","14:30","VOLLEY HAASRODE LEUVEN (VHL) B","VBT MACHELEN A","Sportcomplex Haasrode","","","",""
"U17 Meisjes 2e Provinciale D","U17M2PD-0016","21/10/2018","15:30","VOLLEY OPWIJK C","VBT MACHELEN","Gemeentelijke Sporthal, Opwijk","","","",""
"U15 Jongens 1e Provinciale","U15J1P-21","27/10/2018","09:30","VC FENIKS HAACHT A","VBT MACHELEN A","Sportcomplex Den Dijk, Haacht (Wespelaar)","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0005","27/10/2018","09:30","VBT MACHELEN A","ZUUN VOLLEYBAL CLUB B","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0021","27/10/2018","09:30","VBT MACHELEN C","GRIVOK GRIMBERGEN","Sporthal Bosveld, Machelen","","","",""
"U11 Jongens 1e Provinciale B 2-2","U11J1PB 2-2-0020","27/10/2018","10:00","VOLLEY THOR TERVUREN","VBT MACHELEN A","Gemeentelijke Sportzaal Vossem","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0019","27/10/2018","10:00","SMASH NEERIJSE","VBT MACHELEN","De Kronkel, Huldenberg","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0019","27/10/2018","11:45","VBT MACHELEN A","VC LENNIK DAMES B","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0020","27/10/2018","14:00","VBT MACHELEN B","WEVOK ST.-JORIS WEERT","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0021","27/10/2018","14:00","VBT MACHELEN B","VOLLEY OPWIJK B","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0021","27/10/2018","14:00","VBT MACHELEN A","LIZARDS LUBBEEK-LEUVEN","Sporthal Bosveld, Machelen","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0019","27/10/2018","16:00","VBT MACHELEN B","WEVOK ST.-JORIS WEERT B","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0020","27/10/2018","16:00","VBT MACHELEN B","SMASH NEERIJSE","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Mannen B","2PMB-0077","27/10/2018","17:00","VBT MACHELEN B","VC ETERNIT KAPELLE O/D BOS B","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Vrouwen B","2PVB-0006","27/10/2018","17:00","KEVOC KEERBERGEN B","VBT MACHELEN A","Gemeentelijke Sporthal, Keerbergen","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0020","28/10/2018","14:00","VCV LEEFDAAL-BERTEM A","VBT MACHELEN A","Gemeentelijke Sportzaal, Leefdaal","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0002","03/11/2018","11:30","VOLLEY HAASRODE LEUVEN (VHL) B","VBT MACHELEN A","Sporthal Heverlee","","","",""
"U11 Jongens 2e Provinciale C 2-2","U11J2PC 2-2-0002","03/11/2018","13:30","VC LENNIK HEREN","VBT MACHELEN B","Gem. Sporthal Jo Baetens, Lennik","","","",""
"2de Provinciale Mannen B","2PMB-0005","03/11/2018","16:00","VBT MACHELEN B","VOLLEY HAASRODE LEUVEN (VHL) F","Sporthal Bosveld, Machelen","","","",""
"U17 Meisjes 2e Provinciale D","U17M2PD-0024","10/11/2018","09:30","VBT MACHELEN","VC ETERNIT KAPELLE O/D BOS","Sporthal Bosveld, Machelen","","","",""
"U11 Jongens 2e Provinciale C 2-2","U11J2PC 2-2-0024","10/11/2018","10:30","KRUIKENBURG TERNAT C","VBT MACHELEN B","Sporthal Kruikenburg","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0024","10/11/2018","11:30","VBT MACHELEN","VOLLEY THOR TERVUREN","Sporthal Bosveld, Machelen","","","",""
"U19 Meisjes 2e Provinciale","U19M2P-0034","10/11/2018","12:30","HZ 93 HOFSTADE-ZEMST","VBT MACHELEN","Bloso Ter Heide, Hofstade","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0024","10/11/2018","12:30","ZUUN VOLLEYBAL CLUB","VBT MACHELEN B","Wildersportcomplex, Sint-Pieters-Leeuw","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0023","10/11/2018","14:00","GRIVOK GRIMBERGEN","VBT MACHELEN B","Gem. Sporthal Prinsenbos, Grimbergen","","","",""
