Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
3de Provinciale Vrouwen D,3PVD-0064,06/04/2019,17:00,VBT MACHELEN B,ZUUN VOLLEYBAL CLUB D,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-3,08/09/2018,16:30,KRUIKENBURG TERNAT A,VBT MACHELEN A,Sporthal Kruikenburg,,,,
U15 Jongens 1e Provinciale,U15J1P-6,15/09/2018,16:30,VBT MACHELEN A,VC FENIKS HAACHT A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-7,23/09/2018,11:00,LIZARDS LUBBEEK-LEUVEN A,VBT MACHELEN A,Sporthal Korbeek-Lo,,,,
U15 Jongens 1e Provinciale,U15J1P-12,29/09/2018,11:45,VBT MACHELEN A,VOLLEY HAASRODE LEUVEN (VHL) B,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-15,06/10/2018,11:45,VBT MACHELEN A,VOLLEY HAASRODE LEUVEN (VHL) A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-18,20/10/2018,11:45,VBT MACHELEN A,KRUIKENBURG TERNAT A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-21,27/10/2018,09:30,VC FENIKS HAACHT A,VBT MACHELEN A,"Sportcomplex Den Dijk, Haacht (Wespelaar)",,,,
U15 Jongens 1e Provinciale,U15J1P-27,17/11/2018,11:30,VOLLEY HAASRODE LEUVEN (VHL) B,VBT MACHELEN A,Sporthal Heverlee,,,,
U15 Jongens 1e Provinciale,U15J1P-30,25/11/2018,14:00,VOLLEY HAASRODE LEUVEN (VHL) A,VBT MACHELEN A,Sportcomplex Haasrode,,,,
U15 Jongens 1e Provinciale,U15J1P-22,01/12/2018,15:00,VBT MACHELEN A,LIZARDS LUBBEEK-LEUVEN A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-33,06/01/2019,10:00,KRUIKENBURG TERNAT A,VBT MACHELEN A,Sporthal Kruikenburg,,,,
U15 Jongens 1e Provinciale,U15J1P-36,12/01/2019,11:45,VBT MACHELEN A,VC FENIKS HAACHT A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-37,20/01/2019,11:00,LIZARDS LUBBEEK-LEUVEN A,VBT MACHELEN A,Sporthal Korbeek-Lo,,,,
U15 Jongens 1e Provinciale,U15J1P-42,26/01/2019,13:00,VBT MACHELEN A,VOLLEY HAASRODE LEUVEN (VHL) B,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-45,02/02/2019,11:45,VBT MACHELEN A,VOLLEY HAASRODE LEUVEN (VHL) A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-48,16/02/2019,11:45,VBT MACHELEN A,KRUIKENBURG TERNAT A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-51,23/02/2019,09:30,VC FENIKS HAACHT A,VBT MACHELEN A,"Sportcomplex Den Dijk, Haacht (Wespelaar)",,,,
U15 Jongens 1e Provinciale,U15J1P-52,02/03/2019,11:45,VBT MACHELEN A,LIZARDS LUBBEEK-LEUVEN A,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 1e Provinciale,U15J1P-57,09/03/2019,11:30,VOLLEY HAASRODE LEUVEN (VHL) B,VBT MACHELEN A,Sporthal Heverlee,,,,
U15 Jongens 1e Provinciale,U15J1P-60,16/03/2019,14:00,VOLLEY HAASRODE LEUVEN (VHL) A,VBT MACHELEN A,Sporthal Heverlee,,,,
U15 Jongens 2e Provinciale B,U15J2PB-0030,08/09/2018,14:30,VOLLEY SCHEPDAAL VZW,VBT MACHELEN B,"Sporthal Caerenbergveld, Schepdaal",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0005,15/09/2018,13:30,DAVOC LOT,VBT MACHELEN B,"Vogelenzang, Lot",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0013,29/09/2018,17:00,VC KNØDDE MEISE,VBT MACHELEN B,Sporthal Meise,,,,
U15 Jongens 2e Provinciale B,U15J2PB-0017,06/10/2018,09:30,VBT MACHELEN B,ZUUN VOLLEYBAL CLUB,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0022,20/10/2018,09:30,VBT MACHELEN B,VOLLEY OPWIJK - LINDEMANS AALST,"Sporthal Bosveld, Machelen",,,,
